Carrera,Biologicos,Mecanicos,Campestres,Geofisicos,Sociales,Literarios,Organizacion,Persuasivo,Calculo,Contabilidad,Musical,Artistico,Cientificos
1,40,41,41,40,41,37,42,41,45,40,41,43,40
0,39,38,25,30,30,32,39,24,34,33,22,36,40
1,34,41,41,36,26,22,39,28,41,34,48,33,39
1,32,33,32,32,32,30,29,32,34,33,33,30,32
1,26,34,17,22,19,23,27,29,33,24,24,19,29
0,36,38,36,35,31,34,40,37,35,36,35,36,39
1,34,40,35,35,36,33,32,38,32,40,40,36,35
1,39,28,42,30,34,31,32,29,37,30,42,34,40
1,24,36,28,32,19,19,25,19,34,38,28,23,27
1,40,40,39,40,41,37,38,39,39,39,41,40,39
0,33,44,33,43,34,32,36,35,42,42,38,38,37
0,37,43,34,38,34,30,37,30,35,31,33,34,39
0,37,42,39,41,37,40,39,41,43,41,42,41,40
1,38,32,25,27,35,19,40,24,37,34,22,25,37
0,37,38,38,41,39,44,38,41,43,39,40,36,42
1,41,37,31,36,32,38,34,31,40,36,36,33,40
1,34,35,34,31,27,32,28,29,31,31,28,32,33
0,43,48,43,43,34,31,39,23,31,40,41,41,39
0,37,40,38,38,42,41,42,36,39,39,39,41,40
0,39,43,36,34,30,33,34,29,27,32,31,35,40
0,43,35,39,33,35,39,32,32,46,25,39,35,43
0,33,42,32,38,28,28,34,30,34,31,32,29,37
0,30,25,40,33,37,37,29,36,50,10,43,30,32
0,30,37,34,35,28,28,34,30,36,29,32,34,32
0,24,31,34,36,20,14,19,14,30,13,28,21,30
0,16,37,21,19,27,17,40,37,50,40,22,21,26
0,47,43,42,45,36,28,39,26,44,27,42,36,47
0,38,41,35,41,40,39,35,36,37,33,40,38,40
0,26,25,28,19,21,16,17,19,28,15,18,21,26
0,38,40,40,41,29,35,35,32,40,34,39,43,39
0,35,40,31,35,30,29,43,32,48,32,41,36,40
0,33,37,33,37,35,37,34,36,39,40,32,34,33
0,30,36,36,36,28,30,36,27,39,32,29,31,34
0,31,33,30,36,29,28,32,33,32,31,33,32,33
1,31,32,31,32,32,30,31,31,30,31,32,31,30
0,37,32,38,34,30,32,28,27,32,24,39,38,35
0,30,30,30,30,30,30,30,30,30,30,30,30,30
0,26,29,28,33,24,27,40,26,44,35,24,28,29
0,29,15,24,15,25,20,13,23,20,21,39,43,17
0,41,34,43,34,41,35,37,36,33,30,29,41,41
0,33,34,28,29,33,28,30,29,32,29,34,32,32
0,45,50,40,45,41,46,43,37,45,45,47,46,46
0,35,35,34,36,33,38,34,31,31,34,37,35,35
0,31,34,28,30,30,24,32,27,36,30,27,30,33
0,30,43,40,42,29,29,32,26,36,30,42,35,38
2,26,33,21,19,16,18,29,17,25,40,28,34,25
